# time = 2.54
# Grid points = 1730
# Domain Size = 4
# Pressure (Pa) = 100000
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel
  -7.4059734216e-01  -7.4153573340e-01   1.1960000000e+00   1.8346640000e-05   7.8814184268e-01   1.3822159914e-03   1.3822159914e-03
  -7.3917261220e-01  -7.3965895092e-01   1.1960000000e+00   1.8346640000e-05   7.4732893787e-01   3.0492888482e-03   3.0492888482e-03
  -7.3818573705e-01  -7.3868627349e-01   1.1960000000e+00   1.8346640000e-05   7.0063892668e-01   3.5620353883e-03   3.5620353883e-03
  -7.3745018299e-01  -7.3768520061e-01   1.1960000000e+00   1.8346640000e-05   6.7587404092e-01   3.1994456837e-03   3.1994456837e-03
  -7.3694968424e-01  -7.3721516536e-01   1.1960000000e+00   1.8346640000e-05   6.7017181316e-01   2.8225120743e-03   2.8225120743e-03
  -7.3650046837e-01  -7.3668420312e-01   1.1960000000e+00   1.8346640000e-05   6.7707997450e-01   2.4774323468e-03   2.4774323468e-03
  -7.3582225215e-01  -7.3631673362e-01   1.1960000000e+00   1.8346640000e-05   6.9423440854e-01   2.1121394025e-03   2.1121394025e-03
  -7.3482222621e-01  -7.3532777069e-01   1.1960000000e+00   1.8346640000e-05   6.9373498971e-01   3.2566914593e-03   3.2566914593e-03
  -7.3405432182e-01  -7.3431668173e-01   1.1960000000e+00   1.8346640000e-05   6.3118036419e-01   6.1110435771e-03   6.1110435771e-03
  -7.3350839129e-01  -7.3379196191e-01   1.1960000000e+00   1.8346640000e-05   5.6923584807e-01   7.7525340219e-03   7.7525340219e-03
  -7.3307508269e-01  -7.3322482067e-01   1.1960000000e+00   1.8346640000e-05   5.1209189134e-01   8.2749630508e-03   8.2749630508e-03
  -7.3281866716e-01  -7.3292534471e-01   1.1960000000e+00   1.8346640000e-05   4.7778580798e-01   8.3301635212e-03   8.3301635212e-03
  -7.3261558699e-01  -7.3271198961e-01   1.1960000000e+00   1.8346640000e-05   4.5093561451e-01   8.2405059612e-03   8.2405059612e-03
  -7.3245328465e-01  -7.3251918437e-01   1.1960000000e+00   1.8346640000e-05   4.3000072106e-01   8.0818057652e-03   8.0818057652e-03
  -7.3226349093e-01  -7.3238738492e-01   1.1960000000e+00   1.8346640000e-05   4.0609102845e-01   7.8339134962e-03   7.8339134962e-03
  -7.3183564367e-01  -7.3213959693e-01   1.1960000000e+00   1.8346640000e-05   3.5524732688e-01   7.0493125142e-03   7.0493125142e-03
  -7.3032442714e-01  -7.3153169042e-01   1.1960000000e+00   1.8346640000e-05   2.1001359350e-01   3.0884573508e-03   3.0884573508e-03
  -7.2561246806e-01  -7.2911716387e-01   1.1960000000e+00   1.8346640000e-05   1.7304723417e-01   6.7163362209e-04   6.7163362209e-04
  -7.2033165746e-01  -7.2210777224e-01   1.1960000000e+00   1.8346640000e-05   1.7954398022e-01   6.2825118850e-04   6.2825118850e-04
  -7.1652393086e-01  -7.1855554269e-01   1.1960000000e+00   1.8346640000e-05   1.8054951123e-01   6.8992287498e-04   6.8992287498e-04
  -7.1366248681e-01  -7.1449231902e-01   1.1960000000e+00   1.8346640000e-05   2.1149610377e-01   1.7456237155e-03   1.7456237155e-03
  -7.1252805863e-01  -7.1283265459e-01   1.1960000000e+00   1.8346640000e-05   2.8600387069e-01   3.6012035449e-03   3.6012035449e-03
  -7.1191993600e-01  -7.1222346268e-01   1.1960000000e+00   1.8346640000e-05   3.3718079470e-01   4.7049813530e-03   4.7049813530e-03
  -7.1138399510e-01  -7.1161640932e-01   1.1960000000e+00   1.8346640000e-05   3.8357364231e-01   5.5596130981e-03   5.5596130981e-03
  -7.1053439087e-01  -7.1115158089e-01   1.1960000000e+00   1.8346640000e-05   4.4129798744e-01   6.4972515145e-03   6.4972515145e-03
  -7.0969576361e-01  -7.0991720086e-01   1.1960000000e+00   1.8346640000e-05   3.8557917783e-01   5.5439481959e-03   5.5439481959e-03
  -7.0928860503e-01  -7.0947432636e-01   1.1960000000e+00   1.8346640000e-05   3.5237368584e-01   4.9226502268e-03   4.9226502268e-03
  -7.0895470286e-01  -7.0910288371e-01   1.1960000000e+00   1.8346640000e-05   3.2601633831e-01   4.3853045572e-03   4.3853045572e-03
